team_id,logger_id,timestamp,longitude,latitude,accuracy_m,speed_kmh
T22,GL-5676,2026-03-12 07:12:00,8.170568,11.453672,11.8,2.87
T22,GL-5676,2026-03-12 07:13:00,8.170399,11.453013,6.6,5.28
T22,GL-5676,2026-03-12 07:14:00,8.170316,11.452142,10.9,3.99
T22,GL-5676,2026-03-12 07:15:00,8.17012,11.451491,10.6,5.55
T22,GL-5676,2026-03-12 07:16:00,8.170041,11.45063,8.8,5.03
T22,GL-5676,2026-03-12 07:17:00,8.169883,11.449961,10.0,4.17
T22,GL-5676,2026-03-12 07:18:00,8.169864,11.450005,9.0,0.16
T22,GL-5676,2026-03-12 07:19:00,8.169832,11.44991,10.3,0.22
T22,GL-5676,2026-03-12 07:20:00,8.169722,11.449934,8.3,0.31
T22,GL-5676,2026-03-12 07:21:00,8.169866,11.450088,9.0,0.03
T22,GL-5676,2026-03-12 07:22:00,8.16985,11.450083,6.0,0.86
T22,GL-5676,2026-03-12 07:23:00,8.169804,11.450093,7.9,0.41
T22,GL-5676,2026-03-12 07:24:00,8.169743,11.450109,4.7,0.03
T22,GL-5676,2026-03-12 07:25:00,8.169769,11.45001,10.4,0.77
T22,GL-5676,2026-03-12 07:26:00,8.1699,11.450029,5.1,0.79
T22,GL-5676,2026-03-12 07:27:00,8.169714,11.45014,8.3,0.46
T22,GL-5676,2026-03-12 07:28:00,8.169881,11.450038,10.6,0.04
T22,GL-5676,2026-03-12 07:29:00,8.169929,11.449907,9.2,0.4
T22,GL-5676,2026-03-12 07:30:00,8.169637,11.449951,11.7,0.1
T22,GL-5676,2026-03-12 07:31:00,8.169716,11.449879,,0.6
T22,GL-5676,2026-03-12 07:32:00,8.169938,11.450018,4.4,0.72
T22,GL-5676,2026-03-12 07:33:00,8.169855,11.450017,10.3,0.29
T22,GL-5676,2026-03-12 07:34:00,8.169789,11.450136,6.2,0.21
T22,GL-5676,2026-03-12 07:35:00,8.169788,11.450107,10.5,0.75
T22,GL-5676,2026-03-12 07:36:00,8.169837,11.449794,9.9,0.39
T22,GL-5676,2026-03-12 07:37:00,8.169798,11.449918,7.6,0.87
T22,GL-5676,2026-03-12 07:38:00,8.169863,11.450141,5.3,0.7
T22,GL-5676,2026-03-12 07:39:00,8.169792,11.449973,7.3,0.85
T22,GL-5676,2026-03-12 07:40:00,8.169848,11.449968,10.4,0.82
T22,GL-5676,2026-03-12 07:41:00,8.169863,11.449867,9.6,0.14
T22,GL-5676,2026-03-12 07:42:00,8.169694,11.449966,11.4,0.51
T22,GL-5676,2026-03-12 07:43:00,8.169716,11.450142,5.6,0.86
T22,GL-5676,2026-03-12 07:44:00,8.169941,11.450056,4.7,0.09
T22,GL-5676,2026-03-12 07:45:00,8.170558,11.450037,11.1,5.34
T22,GL-5676,2026-03-12 07:46:00,8.171251,11.450015,5.9,5.06
T22,GL-5676,2026-03-12 07:47:00,8.172099,11.450059,10.8,4.93
T22,GL-5676,2026-03-12 07:48:00,8.172789,11.450179,11.9,3.42
T22,GL-5676,2026-03-12 07:49:00,8.173663,11.450199,4.2,3.45
T22,GL-5676,2026-03-12 07:50:00,8.174307,11.450169,9.3,5.1
T22,GL-5676,2026-03-12 07:51:00,8.17508,11.450336,5.1,4.58
T22,GL-5676,2026-03-12 07:52:00,8.175789,11.450269,7.0,4.46
T22,GL-5676,2026-03-12 07:53:00,8.176587,11.450277,8.5,2.96
T22,GL-5676,2026-03-12 07:54:00,8.177307,11.450365,8.0,4.43
T22,GL-5676,2026-03-12 07:55:00,8.177994,11.450476,10.8,3.09
T22,GL-5676,2026-03-12 07:56:00,8.015873,11.450381,9.2,325.5
T22,GL-5676,2026-03-12 07:57:00,8.179504,11.450515,4.5,4.39
T22,GL-5676,2026-03-12 07:58:00,8.180137,11.450649,6.4,4.52
T22,GL-5676,2026-03-12 07:59:00,8.180956,11.450528,,5.42
T22,GL-5676,2026-03-12 08:00:00,8.181705,11.450573,4.8,4.61
T22,GL-5676,2026-03-12 08:01:00,8.1825,11.450461,8.4,5.39
T22,GL-5676,2026-03-12 08:02:00,8.183248,11.450558,4.8,5.29
T22,GL-5676,2026-03-12 08:03:00,8.183904,11.450532,4.8,5.42
T22,GL-5676,2026-03-12 08:04:00,8.184747,11.450669,6.4,3.12
T22,GL-5676,2026-03-12 08:05:00,8.185488,11.450791,6.6,3.76
T22,GL-5676,2026-03-12 08:06:00,8.186224,11.450673,4.5,3.05
T22,GL-5676,2026-03-12 08:07:00,8.186905,11.450812,5.6,4.78
T22,GL-5676,2026-03-12 08:08:00,8.18768,11.450869,5.6,4.22
T22,GL-5676,2026-03-12 08:09:00,8.188383,11.450868,8.9,4.24
T22,GL-5676,2026-03-12 08:10:00,8.189318,11.450901,4.8,5.47
T22,GL-5676,2026-03-12 08:11:00,8.189958,11.450924,10.0,3.14
T22,GL-5676,2026-03-12 08:12:00,8.190706,11.450904,5.2,4.8
T22,GL-5676,2026-03-12 08:13:00,8.191521,11.45093,10.3,3.89
T22,GL-5676,2026-03-12 08:14:00,8.192286,11.451011,9.4,2.86
T22,GL-5676,2026-03-12 08:15:00,8.192858,11.45103,10.5,3.29
T22,GL-5676,2026-03-12 08:16:00,8.193643,11.451021,11.0,3.11
T22,GL-5676,2026-03-12 08:17:00,8.194389,11.451057,8.6,5.16
T22,GL-5676,2026-03-12 08:18:00,8.195094,11.45118,10.7,4.35
T22,GL-5676,2026-03-12 08:19:00,8.195928,11.451202,5.1,5.22
T22,GL-5676,2026-03-12 08:20:00,8.196582,11.451124,11.2,5.56
T22,GL-5676,2026-03-12 08:21:00,8.197359,11.451222,5.0,5.25
T22,GL-5676,2026-03-12 08:22:00,8.198179,11.451204,7.2,3.41
T22,GL-5676,2026-03-12 08:39:00,8.205609,11.451524,5.1,0.53
T22,GL-5676,2026-03-12 08:40:00,8.205613,11.451584,6.0,0.17
T22,GL-5676,2026-03-12 08:41:00,8.205579,11.451556,9.4,0.78
T22,GL-5676,2026-03-12 08:42:00,8.205787,11.451461,10.1,0.33
T22,GL-5676,2026-03-12 08:43:00,8.205535,11.4514,7.4,0.5
T22,GL-5676,2026-03-12 08:44:00,8.205674,11.451535,8.4,0.24
T22,GL-5676,2026-03-12 08:45:00,8.205605,11.451646,10.1,0.7
