team_id,logger_id,timestamp,longitude,latitude,accuracy_m,speed_kmh
T31,GL-3002,2026-03-11 07:38:00,7.925133,11.336859,8.1,5.01
T31,GL-3002,2026-03-11 07:39:00,7.924616,11.33724,5.6,4.19
T31,GL-3002,2026-03-11 07:40:00,7.924309,11.337432,10.8,3.76
T31,GL-3002,2026-03-11 07:41:00,7.923794,11.337858,11.0,3.78
T31,GL-3002,2026-03-11 07:42:00,7.923376,11.338125,7.2,3.14
T31,GL-3002,2026-03-11 07:43:00,7.923031,11.338482,10.9,3.51
T31,GL-3002,2026-03-11 07:44:00,7.922512,11.338778,8.5,5.5
T31,GL-3002,2026-03-11 07:45:00,7.922123,11.339129,9.0,3.88
T31,GL-3002,2026-03-11 07:46:00,7.921735,11.339511,11.7,4.42
T31,GL-3002,2026-03-11 07:47:00,7.921159,11.339817,10.2,4.13
T31,GL-3002,2026-03-11 07:48:00,7.92069,11.34018,9.1,3.15
T31,GL-3002,2026-03-11 07:49:00,7.920401,11.340387,7.8,3.53
T31,GL-3002,2026-03-11 07:50:00,7.919939,11.340879,11.6,4.9
T31,GL-3002,2026-03-11 07:51:00,7.919919,11.340833,4.8,0.04
T31,GL-3002,2026-03-11 07:52:00,7.91997,11.34076,11.0,0.33
T31,GL-3002,2026-03-11 07:53:00,7.919873,11.34067,10.4,0.75
T31,GL-3002,2026-03-11 07:54:00,7.919871,11.340778,10.6,0.48
T31,GL-3002,2026-03-11 07:55:00,7.919849,11.340906,,0.62
T31,GL-3002,2026-03-11 07:56:00,7.919867,11.340661,,0.3
T31,GL-3002,2026-03-11 07:57:00,7.919829,11.340845,9.1,0.71
T31,GL-3002,2026-03-11 07:58:00,7.919927,11.34106,7.7,0.79
T31,GL-3002,2026-03-11 07:59:00,7.919933,11.340581,7.9,0.54
T31,GL-3002,2026-03-11 08:00:00,7.92008,11.340821,5.6,0.74
T31,GL-3002,2026-03-11 08:01:00,7.91986,11.340815,4.7,0.63
T31,GL-3002,2026-03-11 08:02:00,7.919894,11.340939,8.6,0.15
T31,GL-3002,2026-03-11 08:03:00,7.919838,11.340854,7.7,0.13
T31,GL-3002,2026-03-11 08:04:00,7.919809,11.340831,10.2,0.84
T31,GL-3002,2026-03-11 08:05:00,7.92009,11.340792,11.1,0.3
T31,GL-3002,2026-03-11 08:06:00,7.919777,11.340986,9.0,0.83
T31,GL-3002,2026-03-11 08:07:00,7.919699,11.340835,,0.43
T31,GL-3002,2026-03-11 08:08:00,7.920007,11.340852,7.3,0.41
